"","treeID","V1","coords.x1","coords.x2","coords.x3","optional"
"1",269,23.9627,574119.9663,300331.4353,23.9627,TRUE
"2",338,23.0179,574118.4252,300326.1533,23.0179,TRUE
"3",339,22.9438,574121.2426,300328.8722,22.9438,TRUE
"4",391,22.3907,574113.8617,300313.9481,22.3907,TRUE
"5",400,22.2926,574044.7482,300419.0059,22.2926,TRUE
"6",429,21.8905,574121.1092,300322.3564,21.8905,TRUE
"7",438,21.7175,574104.1881,300470.593,21.7175,TRUE
"8",442,21.6998,574090.681,300454.8018,21.6998,TRUE
"9",448,21.6459,574121.4503,300318.3675,21.6459,TRUE
"10",468,21.505,574060.932,300427.3689,21.505,TRUE
"11",471,21.4711,574099.2097,300463.7075,21.4711,TRUE
"12",480,21.4109,574126.7887,300324.23,21.4109,TRUE
"13",493,21.277,574060.0332,300429.871,21.277,TRUE
"14",495,21.2729,574119.4298,300311.4471,21.2729,TRUE
"15",512,21.1472,574109.366,300311.2461,21.1472,TRUE
"16",521,21.0624,574083.2265,300452.2969,21.0624,TRUE
"17",523,21.0442,574116.5391,300318.3102,21.0442,TRUE
"18",528,20.9896,574120.3391,300309.2558,20.9896,TRUE
"19",565,20.7499,574091.8221,300460.288,20.7499,TRUE
"20",637,20.3214,574042.7463,300422.7165,20.3214,TRUE
"21",645,20.2872,574113.7014,300308.8375,20.2872,TRUE
"22",656,20.2519,574080.9391,300326.6979,20.2519,TRUE
"23",660,20.2301,574115.8943,300309.8869,20.2301,TRUE
"24",670,20.1635,574192.3664,300336.8023,20.1635,TRUE
"25",683,20.0718,574083.886,300326.6099,20.0718,TRUE
"26",686,20.0449,574102.5779,300466.8126,20.0449,TRUE
"27",688,20.0289,574193.0969,300333.5496,20.0289,TRUE
"28",691,20.0123,574043.6966,300414.4617,20.0123,TRUE
"29",720,19.8065,574195.3309,300341.8737,19.8065,TRUE
"30",721,19.7931,574113.3739,300322.1703,19.7931,TRUE
"31",742,19.6864,574194.0858,300338.8273,19.6864,TRUE
"32",747,19.6736,574190.0335,300333.9019,19.6736,TRUE
"33",774,19.4959,574054.8443,300426.0764,19.4959,TRUE
"34",780,19.4566,574099.5981,300469.1592,19.4566,TRUE
"35",782,19.4476,574199.8927,300340.5622,19.4476,TRUE
"36",791,19.4162,574197.0514,300339.656,19.4162,TRUE
"37",849,19.1486,574046.8952,300325.0688,19.1486,TRUE
"38",878,19.0031,574048.5229,300417.8563,19.0031,TRUE
"39",890,18.973,574112.2483,300304.4632,18.973,TRUE
"40",916,18.8791,573998.3315,300351.5157,18.8791,TRUE
"41",935,18.8122,573997.963,300353.5742,18.8122,TRUE
"42",941,18.7869,574080.1427,300448.2844,18.7869,TRUE
"43",963,18.6857,574116.7528,300305.3146,18.6857,TRUE
"44",967,18.6766,574118.7264,300301.6746,18.6766,TRUE
"45",1063,18.3162,574062.3586,300434.6036,18.3162,TRUE
"46",1090,18.2247,574075.4054,300445.4129,18.2247,TRUE
"47",1104,18.1877,574189.5945,300340.6175,18.1877,TRUE
"48",1154,17.9657,574039.5187,300410.3105,17.9657,TRUE
"49",1209,17.7658,574106.0111,300294.4028,17.7658,TRUE
"50",1268,17.5363,574072.7566,300441.0617,17.5363,TRUE
"51",1285,17.4824,574065.0154,300433.8053,17.4824,TRUE
"52",1308,17.4306,574175.0563,300305.8711,17.4306,TRUE
"53",1355,17.2798,574061.6679,300307.6856,17.2798,TRUE
"54",1371,17.2247,574175.7885,300309.2108,17.2247,TRUE
"55",1393,17.1433,574190.027,300317.6599,17.1433,TRUE
"56",1398,17.1301,574173.2311,300308.991,17.1301,TRUE
"57",1454,16.9673,574185.417,300319.7952,16.9673,TRUE
"58",1468,16.9192,574190.8217,300324.2874,16.9192,TRUE
"59",1488,16.8435,574059.4191,300330.709,16.8435,TRUE
"60",1493,16.832,574061.2282,300329.2137,16.832,TRUE
"61",1538,16.7167,574068.2363,300300.0852,16.7167,TRUE
"62",1568,16.6366,574002.0066,300356.3588,16.6366,TRUE
"63",1623,16.4525,574200.4017,300346.8337,16.4525,TRUE
"64",1723,16.1581,574071.1494,300301.8914,16.1581,TRUE
"65",1742,16.0869,574091.8163,300465.4548,16.0869,TRUE
"66",1765,0,574199.2213,300389.5845,0,TRUE
"67",1784,15.9404,574056.8562,300331.2756,15.9404,TRUE
"68",1828,15.7902,574058.6315,300324.5072,15.7902,TRUE
"69",1834,15.7838,574054.5356,300329.1916,15.7838,TRUE
"70",1842,10.8117,574206.39,300388.5824,10.8117,TRUE
"71",1852,15.7252,574204.9328,300375.3296,15.7252,TRUE
"72",1854,15.7215,574017.293,300397.3405,15.7215,TRUE
"73",1856,15.7148,574207.1146,300376.718,15.7148,TRUE
"74",1905,15.5626,574108.3018,300304.5354,15.5626,TRUE
"75",1963,15.39,574045.5658,300424.4072,15.39,TRUE
"76",1969,15.3586,574209.0689,300372.4219,15.3586,TRUE
"77",1974,15.3323,574061.4234,300324.4102,15.3323,TRUE
"78",2021,14.2209,574210.7383,300385.1323,14.2209,TRUE
"79",2041,15.1174,574104.8357,300304.9137,15.1174,TRUE
"80",2062,15.0745,574020.6191,300400.5913,15.0745,TRUE
"81",2100,14.9932,574052.4989,300325.7403,14.9932,TRUE
"82",2102,14.9924,574185.525,300324.3453,14.9924,TRUE
"83",2108,14.9898,574027.5312,300403.1994,14.9898,TRUE
"84",2120,11.9421,574207.8409,300387.2671,11.9421,TRUE
"85",2150,14.9564,573994.2497,300354.7344,14.9564,TRUE
"86",2152,14.9552,574029.1821,300407.0569,14.9552,TRUE
"87",2178,14.9296,573998.616,300372.4564,14.9296,TRUE
"88",2186,14.9232,574053.0493,300324.2066,14.9232,TRUE
"89",2202,14.9053,573995.726,300357.8913,14.9053,TRUE
"90",2220,14.8851,574054.1225,300324.3377,14.8851,TRUE
"91",2226,14.8814,574207.2536,300373.3911,14.8814,TRUE
"92",2240,14.8759,574187.9802,300314.5793,14.8759,TRUE
"93",2242,13.3422,574196.8699,300396.3041,13.3422,TRUE
"94",2337,14.8058,574044.2564,300423.4794,14.8058,TRUE
"95",2345,14.8,574072.8007,300298.9066,14.8,TRUE
"96",2360,14.7856,574205.9178,300372.0285,14.7856,TRUE
"97",2405,14.7496,574183.9146,300313.8483,14.7496,TRUE
"98",2426,14.7329,574098.2094,300471.3213,14.7329,TRUE
"99",2445,14.7227,574187.3457,300325.4464,14.7227,TRUE
"100",2460,14.7093,574204.1137,300374.096,14.7093,TRUE
"101",2474,14.6965,574039.684,300418.5332,14.6965,TRUE
"102",2480,14.6935,574186.4919,300312.6794,14.6935,TRUE
"103",2489,14.6842,574056.3771,300327.785,14.6842,TRUE
"104",2497,14.6788,574020.1474,300396.5053,14.6788,TRUE
"105",2498,14.6743,574187.8621,300326.9382,14.6743,TRUE
"106",2499,14.6741,574185.9047,300311.7033,14.6741,TRUE
"107",2515,8.3972,574212.1301,300384.0667,8.3972,TRUE
"108",2550,14.6344,574185.6506,300313.617,14.6344,TRUE
"109",2564,14.6234,574201.8219,300353.3589,14.6234,TRUE
"110",2566,14.622,574202.1071,300352.3563,14.622,TRUE
"111",2605,14.5905,574019.5496,300397.8625,14.5905,TRUE
"112",2612,14.5858,574187.107,300328.1497,14.5858,TRUE
"113",2638,14.5705,574206.843,300379.8373,14.5705,TRUE
"114",2647,14.5614,574004.5482,300381.5594,14.5614,TRUE
"115",2657,14.5544,574206.5914,300378.4611,14.5544,TRUE
"116",2668,14.5475,574098.5927,300473.6811,14.5475,TRUE
"117",2669,14.5461,574073.4519,300300.259,14.5461,TRUE
"118",2679,14.5373,574027.043,300406.6437,14.5373,TRUE
"119",2721,10.6822,574165.1373,300423.6862,10.6822,TRUE
"120",2743,14.4794,574208.0045,300378.0468,14.4794,TRUE
"121",2752,14.4723,574199.0497,300350.2318,14.4723,TRUE
"122",2826,14.4129,574184.2266,300312.7657,14.4129,TRUE
"123",2832,14.4096,574189.2148,300315.4437,14.4096,TRUE
"124",2868,14.3817,574198.4975,300349.2327,14.3817,TRUE
"125",2924,14.332,574186.7232,300316.0049,14.332,TRUE
"126",2930,14.3258,574210.0001,300376.178,14.3258,TRUE
"127",2957,14.3082,574207.587,300371.2964,14.3082,TRUE
"128",2971,14.2999,574198.1392,300350.9555,14.2999,TRUE
"129",2975,14.2981,574197.349,300350.2953,14.2981,TRUE
"130",3014,14.2716,574203.6996,300352.6759,14.2716,TRUE
"131",3028,11.5663,574207.0416,300387.2767,11.5663,TRUE
"132",3082,14.2154,574070.7304,300297.1275,14.2154,TRUE
"133",3125,0,574104.1096,300474.8604,0,TRUE
"134",3142,14.1699,574180.4652,300318.8729,14.1699,TRUE
"135",3155,14.1634,574109.5482,300303.8878,14.1634,TRUE
"136",3188,14.1376,574182.5468,300315.4661,14.1376,TRUE
"137",3213,0,574166.8253,300418.3667,0,TRUE
"138",3214,14.1159,574085.0426,300456.8084,14.1159,TRUE
"139",3216,14.1148,574196.2697,300351.7653,14.1148,TRUE
"140",3230,14.1055,574019.405,300399.3478,14.1055,TRUE
"141",3282,0,574178.846,300407.3613,0,TRUE
"142",3293,14.0507,574049.4178,300320.8655,14.0507,TRUE
"143",3331,14.0206,574183.2712,300312.0116,14.0206,TRUE
"144",3363,12.2052,574109.9435,300470.1933,12.2052,TRUE
"145",3367,13.988,574201.4605,300345.7745,13.988,TRUE
"146",3387,13.9711,574086.5052,300331.0675,13.9711,TRUE
"147",3406,13.9519,574179.0686,300308.8827,13.9519,TRUE
"148",3427,13.9322,574068.1713,300439.2086,13.9322,TRUE
"149",3432,13.9295,574048.4192,300422.8405,13.9295,TRUE
"150",3444,13.922,574058.1102,300321.8221,13.922,TRUE
"151",3462,13.9122,574194.8793,300350.4792,13.9122,TRUE
"152",3468,13.9057,574204.3903,300359.3611,13.9057,TRUE
"153",3493,13.8835,574200.2083,300350.9433,13.8835,TRUE
"154",3494,13.8835,574197.6259,300352.3336,13.8835,TRUE
"155",3525,13.8646,574069.1919,300438.9053,13.8646,TRUE
"156",3539,13.8548,574022.1684,300398.5436,13.8548,TRUE
"157",3551,13.8465,574017.9695,300395.2391,13.8465,TRUE
"158",3556,13.8399,574092.6251,300467.6444,13.8399,TRUE
"159",3565,13.8357,574210.1236,300374.8225,13.8357,TRUE
"160",3601,13.801,574211.627,300378.3469,13.801,TRUE
"161",3641,13.7682,574202.4743,300373.2565,13.7682,TRUE
"162",3668,13.7413,574198.3783,300395.2816,13.7413,TRUE
"163",3671,13.732,574070.864,300295.9273,13.732,TRUE
"164",3679,13.7243,574203.2409,300372.4614,13.7243,TRUE
"165",3710,0,574181.8104,300409.5093,0,TRUE
"166",3715,13.7002,574020.5721,300398.6758,13.7002,TRUE
"167",3717,13.6992,574201.2653,300371.7984,13.6992,TRUE
"168",3731,0,574157.8933,300422.3048,0,TRUE
"169",3746,13.6809,574122.9924,300308.6538,13.6809,TRUE
"170",3849,13.5947,574049.5557,300420.516,13.5947,TRUE
"171",3855,13.5881,574006.1398,300383.8867,13.5881,TRUE
"172",3909,13.5423,574107.6822,300471.3891,13.5423,TRUE
"173",3958,13.4985,574211.3182,300375.9647,13.4985,TRUE
"174",4061,13.4179,574211.5811,300380.1721,13.4179,TRUE
"175",4066,0,574192.6254,300400.2198,0,TRUE
"176",4069,6.8163,574214.263,300382.0568,6.8163,TRUE
"177",4090,13.3945,574051.413,300421.6576,13.3945,TRUE
"178",4118,13.372,574194.9152,300353.5366,13.372,TRUE
"179",4135,13.3617,574199.5298,300352.1928,13.3617,TRUE
"180",4145,12.8234,574191.4348,300401.4957,12.8234,TRUE
"181",4158,13.3398,574031.2128,300404.394,13.3398,TRUE
"182",4201,13.2996,574204.5975,300369.611,13.2996,TRUE
"183",4209,13.2881,574202.5504,300344.4294,13.2881,TRUE
"184",4231,13.272,574030.8821,300410.48,13.272,TRUE
"185",4232,13.27,574029.9132,300403.1679,13.27,TRUE
"186",4249,13.2545,574205.419,300370.3207,13.2545,TRUE
"187",4253,13.2508,574108.4897,300469.8761,13.2508,TRUE
"188",4307,13.204,574009.5276,300334.3002,13.204,TRUE
"189",4342,13.1759,574202.736,300355.9662,13.1759,TRUE
"190",4343,13.1756,574074.2814,300293.5901,13.1756,TRUE
"191",4353,13.1628,574031.2488,300408.0793,13.1628,TRUE
"192",4393,13.1194,574029.0378,300408.8078,13.1194,TRUE
"193",4445,13.0654,574013.5822,300392.6406,13.0654,TRUE
"194",4511,13.0078,574179.3615,300314.9167,13.0078,TRUE
"195",4575,12.9441,574201.2557,300355.1431,12.9441,TRUE
"196",4577,12.943,574117.3107,300264.6741,12.943,TRUE
"197",4590,12.9352,574212.3086,300383.3174,12.9352,TRUE
"198",4592,12.9333,574090.7511,300448.741,12.9333,TRUE
"199",4603,12.9202,574021.9519,300399.5981,12.9202,TRUE
"200",4650,12.8737,574026.1884,300405.7238,12.8737,TRUE
"201",4656,12.8685,574019.1757,300394.2036,12.8685,TRUE
"202",4694,12.8206,574008.2619,300336.0048,12.8206,TRUE
"203",4704,12.8132,574169.9845,300303.863,12.8132,TRUE
"204",4705,12.8131,574032.8987,300403.6612,12.8131,TRUE
"205",4741,12.7846,574181.7926,300322.9809,12.7846,TRUE
"206",4742,12.7843,574203.5332,300357.3265,12.7843,TRUE
"207",4763,12.7665,574201.8112,300347.4181,12.7665,TRUE
"208",4767,12.7641,574202.1903,300350.2612,12.7641,TRUE
"209",4792,12.7364,574074.5164,300291.0262,12.7364,TRUE
"210",4796,12.7304,574179.7222,300304.318,12.7304,TRUE
"211",4813,12.7173,574086.9203,300461.7499,12.7173,TRUE
"212",4826,12.7001,574202.3615,300357.322,12.7001,TRUE
"213",4829,12.6963,574022.8802,300400.7127,12.6963,TRUE
"214",4872,12.6576,574182.7149,300322.4251,12.6576,TRUE
"215",4925,12.6189,574008.4741,300337.1168,12.6189,TRUE
"216",4935,12.6073,574199.9036,300355.123,12.6073,TRUE
"217",4940,12.6027,574208.7871,300385.8309,12.6027,TRUE
"218",4959,12.5777,574073.8918,300295.983,12.5777,TRUE
"219",5029,12.5163,574044.9701,300326.8737,12.5163,TRUE
"220",5087,0,574102.9015,300475.9151,0,TRUE
"221",5090,12.4577,574072.9541,300291.8173,12.4577,TRUE
"222",5156,12.3953,574064.7554,300302.3365,12.3953,TRUE
"223",5158,12.3947,574189.7133,300344.6775,12.3947,TRUE
"224",5169,12.3836,574173.0084,300312.5978,12.3836,TRUE
"225",5176,12.3789,574032.7666,300402.3543,12.3789,TRUE
"226",5179,12.3746,574026.3376,300404.0006,12.3746,TRUE
"227",5228,12.3087,574086.0693,300459.6686,12.3087,TRUE
"228",5236,12.2903,574036.4789,300415.7784,12.2903,TRUE
"229",5244,12.2824,574075.5061,300290.1457,12.2824,TRUE
"230",5251,12.2779,574178.6807,300318.5633,12.2779,TRUE
"231",5262,12.2662,574043.8407,300327.5885,12.2662,TRUE
"232",5322,12.2144,574084.0519,300279.4504,12.2144,TRUE
"233",5339,12.1976,574202.1518,300359.1947,12.1976,TRUE
"234",5340,12.1949,574087.0818,300279.7482,12.1949,TRUE
"235",5342,12.1943,573999.9321,300374.5431,12.1943,TRUE
"236",5398,12.1508,574010.8842,300337.4777,12.1508,TRUE
"237",5421,11.7464,574207.5397,300387.0076,11.7464,TRUE
"238",5425,12.1202,574011.908,300338.1239,12.1202,TRUE
"239",5434,12.112,574183.4913,300323.1817,12.112,TRUE
"240",5444,12.1079,574178.6705,300316.8628,12.1079,TRUE
"241",5491,0,574177.7421,300407.2419,0,TRUE
"242",5515,12.0382,574022.8086,300402.7937,12.0382,TRUE
"243",5529,12.0185,574207.0308,300386.7688,12.0185,TRUE
"244",5538,10.2766,574101.8189,300476.8838,10.2766,TRUE
"245",5650,11.9051,574003.8909,300380.1973,11.9051,TRUE
"246",5674,11.8854,574047.0439,300327.8204,11.8854,TRUE
"247",5684,0,574188.3127,300404.0802,0,TRUE
"248",5699,11.8606,574085.9275,300280.6744,11.8606,TRUE
"249",5716,11.8464,574043.2529,300320.5209,11.8464,TRUE
"250",5748,11.8157,574075.9729,300294.8728,11.8157,TRUE
"251",5780,11.7887,574203.9777,300350.6509,11.7887,TRUE
"252",5791,11.7801,574180.1502,300321.0228,11.7801,TRUE
"253",5835,11.7353,574045.773,300319.2958,11.7353,TRUE
"254",5909,11.6548,574044.7432,300328.4548,11.6548,TRUE
"255",5925,11.6406,574185.2651,300309.064,11.6406,TRUE
"256",5996,0,574172.9881,300415.9792,0,TRUE
"257",6038,11.5023,574000.6723,300342.7195,11.5023,TRUE
"258",6088,11.4442,574082.9032,300280.596,11.4442,TRUE
"259",6119,11.4157,574017.8885,300393.3849,11.4157,TRUE
"260",6124,11.4104,574006.2129,300351.1136,11.4104,TRUE
"261",6237,11.2762,574077.866,300332.6014,11.2762,TRUE
"262",6266,0,574170.1561,300412.4382,0,TRUE
"263",6323,0,574158.3116,300419.0539,0,TRUE
"264",6329,11.1932,574056.2935,300320.8762,11.1932,TRUE
"265",6359,11.163,574211.5708,300370.6395,11.163,TRUE
"266",6361,11.1567,574118.4945,300264.9207,11.1567,TRUE
"267",6388,11.1218,574094.1752,300469.1475,11.1218,TRUE
"268",6390,11.1181,574084.3771,300280.9089,11.1181,TRUE
"269",6430,0,574125.3549,300452.3046,0,TRUE
"270",6459,11.0342,574111.1887,300266.703,11.0342,TRUE
"271",6502,10.9964,574042.6114,300325.2817,10.9964,TRUE
"272",6504,10.9905,573991.3114,300352.6699,10.9905,TRUE
"273",6517,10.9732,574204.9366,300355.2966,10.9732,TRUE
"274",6547,10.9268,574089.6328,300278.9597,10.9268,TRUE
"275",6591,10.8703,574041.9241,300322.4116,10.8703,TRUE
"276",6636,9.4732,574216.8276,300379.6247,9.4732,TRUE
"277",6697,10.7265,574082.1544,300457.1542,10.7265,TRUE
"278",6729,10.683,574088.2249,300277.1068,10.683,TRUE
"279",6764,10.6484,574215.2487,300379.0219,10.6484,TRUE
"280",6788,10.6112,573991.0587,300353.953,10.6112,TRUE
"281",6792,10.6065,574035.0457,300403.1837,10.6065,TRUE
"282",6829,10.561,574202.7055,300369.6896,10.561,TRUE
"283",6843,10.5362,574205.7409,300354.6299,10.5362,TRUE
"284",6872,10.4932,574110.0256,300265.3293,10.4932,TRUE
"285",6903,10.4381,574043.003,300324.1834,10.4381,TRUE
"286",6971,10.3499,574067.4448,300303.1129,10.3499,TRUE
"287",6998,10.315,574121.6118,300262.3221,10.315,TRUE
"288",7003,10.3104,574041.9999,300323.9068,10.3104,TRUE
"289",7008,10.3068,574115.634,300262.2942,10.3068,TRUE
"290",7018,10.2944,574217.0227,300377.8113,10.2944,TRUE
"291",7049,10.2602,574177.5567,300300.809,10.2602,TRUE
"292",7067,10.2288,573990.9836,300355.8144,10.2288,TRUE
"293",7094,10.1828,574210.3549,300382.8198,10.1828,TRUE
"294",7135,10.1078,574206.7804,300358.0597,10.1078,TRUE
